epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,698.204,2.30898,16.7315,1.70785,3e-05,0.00769,1e-05,0,2.20594,12.4251,1.81395,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,1195.71,1.6747,6.11781,1.30816,0.18826,0.28724,0.11786,0.07178,1.20183,3.87189,1.11633,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446
3,1606.01,1.25362,2.42574,1.0509,0.92937,0.93077,0.95667,0.67023,1.0061,1.89826,0.97124,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
4,2018.52,1.0492,1.27529,0.90966,0.99115,0.96154,0.99215,0.75969,0.85434,0.97126,0.89255,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082
5,2377.1,0.97859,0.83229,0.87544,0.9968,0.97692,0.99455,0.7653,0.802,0.68617,0.86483,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327
6,2683.92,0.91547,0.68964,0.87142,0.98267,0.99231,0.99469,0.76107,0.79475,0.58699,0.86199,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971
7,2990.51,0.90594,0.6274,0.85317,0.99236,0.99924,0.995,0.7717,0.79496,0.54641,0.86734,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614
8,3729.11,0.87177,0.58763,0.84427,0.99133,1,0.995,0.75992,0.84168,0.56469,0.86271,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833
9,3987.58,0.87055,0.58695,0.84081,1,0.99724,0.995,0.78121,0.74942,0.47792,0.86251,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,4249.36,0.85605,0.5408,0.84305,1,0.99882,0.995,0.77225,0.81683,0.48979,0.86741,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,4507.83,0.8699,0.52473,0.85455,0.99813,0.99231,0.995,0.7968,0.7378,0.48844,0.855,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,4765.27,0.85401,0.5165,0.83123,0.99732,0.99231,0.995,0.77459,0.77395,0.50894,0.8616,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,5024.19,0.81748,0.49613,0.84028,0.99597,0.99231,0.995,0.81231,0.7154,0.45391,0.85546,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,5279.16,0.8171,0.50002,0.85406,0.99868,1,0.995,0.81248,0.71376,0.49187,0.86501,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,5537.37,0.76796,0.48942,0.8406,0.99894,1,0.995,0.81034,0.69265,0.43626,0.85395,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,5795.34,0.79328,0.46379,0.82756,0.99839,1,0.995,0.81229,0.6964,0.42829,0.86172,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
